#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010,1,10,12,0,250,7.7,8.8,99,99,99,999,9999,-12.7,999,999,99,99
2010,1,10,13,0,250,7.2,9.3,99,99,99,999,9999,-13.6,999,999,99,99
2010,1,10,14,0,250,9.8,11.3,99,99,99,999,9999,-13.6,999,999,99,99
2010,1,10,15,0,250,8.8,10.8,99,99,99,999,9999,-12.6,999,999,99,99
2010,1,10,16,0,250,9.3,11.3,99,99,99,999,9999,-12.9,999,999,99,99
2010,1,10,17,0,240,5.7,9.3,99,99,99,999,9999,-11.2,999,999,99,99
2010,1,10,18,0,230,8.8,11.3,99,99,99,999,9999,-10.4,999,999,99,99
2010,1,10,19,0,210,8.8,10.3,99,99,99,999,9999,-10,999,999,99,99
2010,1,10,20,0,200,10.3,12.4,99,99,99,999,9999,-8.7,999,999,99,99
2010,1,10,21,0,190,11.3,12.9,99,99,99,999,9999,-9.1,999,999,99,99
2010,1,10,22,0,200,13.4,16,99,99,99,999,9999,-9.6,999,999,99,99
2010,1,10,23,0,190,14.4,16.5,99,99,99,999,9999,-10.4,999,999,99,99
2010,1,11,0,0,200,13.4,17.5,99,99,99,999,9999,-10.6,999,999,99,99
2010,1,11,1,0,190,14.4,17.5,99,99,99,999,9999,-10.3,999,999,99,99
2010,1,11,2,0,190,13.9,17,99,99,99,999,9999,-9.4,999,999,99,99
2010,1,11,3,0,200,13.4,18,99,99,99,999,9999,-9,999,999,99,99
2010,1,11,4,0,200,11.3,15.4,99,99,99,999,9999,-8.1,999,999,99,99
2010,1,11,5,0,200,10.8,13.9,99,99,99,999,9999,-7.5,999,999,99,99
2010,1,11,6,0,200,10.3,13.4,99,99,99,999,9999,-6.9,999,999,99,99
2010,1,11,7,0,210,8.8,12.9,99,99,99,999,9999,-6.5,999,999,99,99
2010,1,11,8,0,230,8.2,10.8,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,11,9,0,230,7.7,9.8,99,99,99,999,9999,-6.7,999,999,99,99
2010,1,11,10,0,250,7.2,9.8,99,99,99,999,9999,-6.8,999,999,99,99
2010,1,11,11,0,280,6.2,8.8,99,99,99,999,9999,-7,999,999,99,99
2010,1,11,12,0,290,7.7,9.8,99,99,99,999,9999,-7.4,999,999,99,99
2010,1,11,13,0,300,6.7,8.2,99,99,99,999,9999,-7.5,999,999,99,99
2010,1,11,14,0,300,7.2,9.3,99,99,99,999,9999,-7.8,999,999,99,99
2010,1,11,15,0,320,7.2,9.8,99,99,99,999,9999,-8.2,999,999,99,99
2010,1,11,16,0,310,6.7,7.7,99,99,99,999,9999,-7.9,999,999,99,99
2010,1,11,17,0,290,7.2,8.2,99,99,99,999,9999,-7,999,999,99,99
2010,1,11,18,0,320,8.2,10.3,99,99,99,999,9999,-6.2,999,999,99,99
2010,1,11,19,0,310,9.3,10.3,99,99,99,999,9999,-5.3,999,999,99,99
2010,1,11,20,0,300,8.2,9.8,99,99,99,999,9999,-4.7,999,999,99,99
2010,1,11,21,0,290,9.3,10.8,99,99,99,999,9999,-3.9,999,999,99,99
2010,1,11,22,0,310,10.8,11.8,99,99,99,999,9999,-2.9,999,999,99,99
2010,1,11,23,0,330,13.4,16,99,99,99,999,9999,-2.6,999,999,99,99
2010,1,12,0,0,330,14.4,17,99,99,99,999,9999,-2.6,999,999,99,99
2010,1,12,1,0,330,15.4,17.5,99,99,99,999,9999,-2.5,999,999,99,99
2010,1,12,2,0,330,12.9,14.9,99,99,99,999,9999,-2.4,999,999,99,99
2010,1,12,3,0,330,11.3,14.4,99,99,99,999,9999,-2.1,999,999,99,99
2010,1,12,4,0,330,12.4,14.9,99,99,99,999,9999,-2.1,999,999,99,99
2010,1,12,5,0,320,11.8,13.4,99,99,99,999,9999,-3.1,999,999,99,99
2010,1,12,6,0,320,10.8,12.9,99,99,99,999,9999,-3.6,999,999,99,99
2010,1,12,7,0,320,10.3,12.4,99,99,99,999,9999,-3.7,999,999,99,99
2010,1,12,8,0,320,11.3,12.9,99,99,99,999,9999,-3.4,999,999,99,99
2010,1,12,9,0,330,12.4,13.4,99,99,99,999,9999,-3.1,999,999,99,99
2010,1,12,10,0,330,10.8,12.9,99,99,99,999,9999,-2.9,999,999,99,99
2010,1,12,11,0,330,10.3,11.8,99,99,99,999,9999,-2.9,999,999,99,99
2010,1,12,12,0,310,7.2,8.8,99,99,99,999,9999,-3.3,999,999,99,99
2010,1,12,13,0,320,7.2,9.3,99,99,99,999,9999,-3,999,999,99,99
2010,1,12,14,0,320,5.1,6.7,99,99,99,999,9999,-3.1,999,999,99,99
2010,1,12,15,0,300,4.6,5.1,99,99,99,999,9999,-2.9,999,999,99,99
2010,1,12,16,0,300,4.1,4.6,99,99,99,999,9999,-2.8,999,999,99,99
2010,1,12,17,0,300,3.6,4.1,99,99,99,999,9999,-2.6,999,999,99,99
2010,1,12,18,0,290,2.6,3.1,99,99,99,999,9999,-2.1,999,999,99,99
2010,1,12,19,0,290,2.6,3.1,99,99,99,999,9999,-1.7,999,999,99,99
2010,1,12,20,0,220,3.1,4.6,99,99,99,999,9999,-1.1,999,999,99,99
