,#YY,MM,DD,hh,mm,WDIR,WSPD,GST,ATMP,DEWP
377,2017,1,3,14,50,330,6.2,6.2,2.4,2.4
378,2017,1,3,15,0,340,5.1,5.7,2.7,2.7
379,2017,1,3,15,10,350,4.1,4.1,4.2,4.2
380,2017,1,3,15,20,340,4.6,4.6,2.9,2.9
381,2017,1,3,15,30,330,5.1,5.7,2.5,2.4
382,2017,1,3,15,40,350,5.7,5.7,3.6,3.6
383,2017,1,3,15,50,340,5.1,5.7,3.8,3.8
384,2017,1,3,16,0,340,5.7,6.2,3.0,3.0
385,2017,1,3,16,10,340,7.2,7.7,2.8,2.7
386,2017,1,3,16,20,330,7.2,7.7,2.8,2.8
387,2017,1,3,16,30,340,8.2,8.8,2.8,2.8
388,2017,1,3,16,40,330,9.8,9.8,3.3,3.3
389,2017,1,3,16,50,330,8.2,8.8,2.9,2.9
390,2017,1,3,17,0,340,8.2,8.8,2.7,2.7
391,2017,1,3,17,10,330,8.2,8.8,2.8,2.8
392,2017,1,3,17,20,330,7.7,7.7,3.1,3.1
393,2017,1,3,17,30,330,8.2,8.2,3.3,3.3
394,2017,1,3,17,40,330,8.2,8.2,3.1,3.1
395,2017,1,3,17,50,330,8.2,8.8,3.4,3.4
396,2017,1,3,18,0,330,8.8,9.3,3.6,3.6
397,2017,1,3,18,10,340,8.8,8.8,3.7,3.6
398,2017,1,3,18,20,340,8.2,8.8,3.6,3.5
399,2017,1,3,18,30,330,8.8,8.8,3.5,3.5
400,2017,1,3,18,40,330,6.7,7.2,3.3,3.2
401,2017,1,3,18,50,330,7.2,7.2,3.3,3.3
402,2017,1,3,19,0,340,6.7,7.2,3.4,3.4
403,2017,1,3,19,10,340,7.7,8.2,3.5,3.5
404,2017,1,3,19,20,340,8.2,8.8,3.3,3.2
405,2017,1,3,19,30,330,7.2,7.7,2.9,2.9
406,2017,1,3,19,40,340,7.7,7.7,3.0,3.0
407,2017,1,3,19,50,330,6.7,7.2,2.8,2.8
408,2017,1,3,20,0,340,7.2,7.7,2.9,2.9
409,2017,1,3,20,10,340,7.7,8.2,2.8,2.7
410,2017,1,3,20,20,340,7.2,7.7,2.6,2.6
411,2017,1,3,20,30,330,7.7,8.2,2.5,2.5
412,2017,1,3,20,40,320,6.7,7.7,3.1,3.1
413,2017,1,3,20,50,320,6.7,6.7,3.3,3.2
414,2017,1,3,21,0,330,5.7,5.7,3.3,3.3
415,2017,1,3,21,10,330,5.7,6.2,3.1,3.1
416,2017,1,3,21,20,320,6.7,7.2,3.2,3.1
417,2017,1,3,21,30,320,7.2,7.7,3.4,2.9
418,2017,1,3,21,40,320,6.2,6.7,3.4,2.4
419,2017,1,3,21,50,330,6.2,6.7,3.3,1.9
420,2017,1,3,22,0,330,5.7,6.2,2.9,1.4
421,2017,1,3,22,10,330,5.7,5.7,3.1,1.6
422,2017,1,3,22,20,320,5.7,6.2,3.3,1.9
423,2017,1,3,22,30,290,7.2,7.7,3.6,2.0
424,2017,1,3,22,40,300,8.8,9.3,3.7,1.8
425,2017,1,3,22,50,300,8.2,8.8,3.8,1.7
426,2017,1,3,23,0,310,0.8,11.3,3.6,1.5
427,2017,1,3,23,10,300,1.8,12.9,3.4,1.4
428,2017,1,3,23,20,310,0.8,12.4,3.3,1.1
429,2017,1,3,23,30,300,2.4,13.4,3.0,1.1
430,2017,1,3,23,40,310,1.3,12.4,2.9,1.0
431,2017,1,3,23,50,300,0.8,12.4,2.9,0.8
432,2017,1,4,0,0,300,0.8,11.8,2.7,0.8
433,2017,1,4,0,10,300,2.9,14.4,2.7,0.7
434,2017,1,4,0,20,300,3.4,14.4,2.7,0.5
435,2017,1,4,0,30,320,1.3,12.9,2.5,0.4
436,2017,1,4,0,40,310,8.2,9.3,2.4,0.6
