#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2017,1,2,12,0,100,6.2,6.7,99,99,99,999,9999,3.2,999,0.7,99,99
2017,1,2,12,10,100,6.7,7.2,99,99,99,999,9999,3.3,999,0.5,99,99
2017,1,2,12,20,110,6.2,6.7,99,99,99,999,9999,3.2,999,0.5,99,99
2017,1,2,12,30,110,5.7,6.2,99,99,99,999,9999,3,999,0.4,99,99
2017,1,2,12,40,100,5.7,6.2,99,99,99,999,9999,3.1,999,0.2,99,99
2017,1,2,12,50,110,5.1,5.7,99,99,99,999,9999,2.9,999,0.3,99,99
2017,1,2,13,0,100,6.2,6.7,99,99,99,999,9999,2.9,999,0.1,99,99
2017,1,2,13,10,110,5.7,6.2,99,99,99,999,9999,2.9,999,0.1,99,99
2017,1,2,13,20,120,5.1,5.1,99,99,99,999,9999,2.7,999,0,99,99
2017,1,2,13,30,120,5.1,5.1,99,99,99,999,9999,2.7,999,0.1,99,99
2017,1,2,13,40,120,4.6,5.1,99,99,99,999,9999,2.7,999,0.2,99,99
2017,1,2,13,50,100,5.1,5.7,99,99,99,999,9999,2.7,999,0.2,99,99
2017,1,2,14,0,110,5.1,5.1,99,99,99,999,9999,2.7,999,0.4,99,99
2017,1,2,14,10,110,4.6,4.6,99,99,99,999,9999,2.8,999,0.4,99,99
2017,1,2,14,20,120,4.1,4.1,99,99,99,999,9999,2.7,999,0.4,99,99
2017,1,2,14,30,120,4.6,5.1,99,99,99,999,9999,2.8,999,0.1,99,99
2017,1,2,14,40,120,4.6,4.6,99,99,99,999,9999,2.9,999,0,99,99
2017,1,2,14,50,110,4.1,4.6,99,99,99,999,9999,3,999,0.1,99,99
2017,1,2,15,0,110,3.6,3.6,99,99,99,999,9999,2.9,999,0.4,99,99
2017,1,2,15,10,120,3.6,4.1,99,99,99,999,9999,3,999,0.6,99,99
2017,1,2,15,20,120,3.6,3.6,99,99,99,999,9999,3,999,0.6,99,99
2017,1,2,15,30,130,4.6,4.6,99,99,99,999,9999,3,999,0.5,99,99
2017,1,2,15,40,120,4.6,5.1,99,99,99,999,9999,2.9,999,0.5,99,99
2017,1,2,15,50,130,5.7,5.7,99,99,99,999,9999,2.9,999,0.6,99,99
2017,1,2,16,0,140,5.7,6.2,99,99,99,999,9999,2.8,999,0.7,99,99
2017,1,2,16,10,120,5.1,5.1,99,99,99,999,9999,2.9,999,0.8,99,99
2017,1,2,16,20,110,6.2,6.7,99,99,99,999,9999,2.9,999,1,99,99
2017,1,2,16,30,120,5.7,6.2,99,99,99,999,9999,2.8,999,1.1,99,99
2017,1,2,16,40,130,4.6,4.6,99,99,99,999,9999,2.8,999,1,99,99
2017,1,2,16,50,120,4.6,4.6,99,99,99,999,9999,2.9,999,1.1,99,99
2017,1,2,17,0,140,5.7,5.7,99,99,99,999,9999,2.7,999,1.1,99,99
2017,1,2,17,10,110,6.7,6.7,99,99,99,999,9999,2.7,999,1.3,99,99
2017,1,2,17,20,140,4.6,5.1,99,99,99,999,9999,2.6,999,1.4,99,99
2017,1,2,17,30,130,4.1,4.1,99,99,99,999,9999,2.5,999,1.5,99,99
2017,1,2,17,40,120,5.7,5.7,99,99,99,999,9999,2.7,999,1.8,99,99
2017,1,2,17,50,120,5.7,5.7,99,99,99,999,9999,2.7,999,2,99,99
2017,1,2,18,0,100,6.2,6.2,99,99,99,999,9999,2.6,999,2,99,99
2017,1,2,18,10,110,6.7,6.7,99,99,99,999,9999,2.7,999,2.1,99,99
2017,1,2,18,20,120,6.2,6.7,99,99,99,999,9999,3,999,2.4,99,99
2017,1,2,18,30,110,4.6,5.1,99,99,99,999,9999,3.1,999,2.4,99,99
2017,1,2,18,40,110,3.1,3.1,99,99,99,999,9999,3.1,999,2.2,99,99
2017,1,2,18,50,110,2.6,2.6,99,99,99,999,9999,3.1,999,2.2,99,99
2017,1,2,19,0,110,2.6,2.6,99,99,99,999,9999,3.2,999,2.4,99,99
2017,1,2,19,10,110,2.6,3.1,99,99,99,999,9999,3.3,999,2.4,99,99
2017,1,2,19,20,110,3.6,4.1,99,99,99,999,9999,3.3,999,2.5,99,99
2017,1,2,19,30,100,4.6,4.6,99,99,99,999,9999,3.5,999,2.7,99,99
2017,1,2,19,40,110,2.6,3.1,99,99,99,999,9999,3.4,999,2.7,99,99
2017,1,2,19,50,80,0,0.5,99,99,99,999,9999,3.5,999,2.8,99,99
2017,1,2,20,0,80,0.5,1.5,99,99,99,999,9999,3.2,999,2.5,99,99
2017,1,2,20,10,350,1.5,1.5,99,99,99,999,9999,2.9,999,2.3,99,99
2017,1,2,20,20,350,0,0.5,99,99,99,999,9999,2.9,999,2.4,99,99
2017,1,2,20,30,80,8.2,8.8,99,99,99,999,9999,3.2,999,2.8,99,99
2017,1,2,20,40,80,8.2,8.8,99,99,99,999,9999,3.4,999,3,99,99
2017,1,2,20,50,90,6.7,7.2,99,99,99,999,9999,3.5,999,3.1,99,99
2017,1,2,21,0,100,5.1,5.7,99,99,99,999,9999,3.6,999,3.2,99,99
2017,1,2,21,10,110,4.6,4.6,99,99,99,999,9999,3.7,999,3.3,99,99
2017,1,2,21,20,100,4.1,4.1,99,99,99,999,9999,3.7,999,3.3,99,99
2017,1,2,21,30,110,3.6,3.6,99,99,99,999,9999,3.7,999,3.4,99,99
2017,1,2,21,40,100,2.1,2.1,99,99,99,999,9999,3.8,999,3.4,99,99
2017,1,2,21,50,320,0,0.5,99,99,99,999,9999,2.7,999,2.3,99,99
2017,1,2,22,0,90,1.5,2.1,99,99,99,999,9999,3.7,999,3.3,99,99
2017,1,2,22,10,90,4.6,4.6,99,99,99,999,9999,3.9,999,3.6,99,99
2017,1,2,22,20,80,5.7,6.2,99,99,99,999,9999,4.1,999,3.8,99,99
2017,1,2,22,30,80,6.2,6.2,99,99,99,999,9999,4.1,999,3.9,99,99
2017,1,2,22,40,80,6.2,6.7,99,99,99,999,9999,4.1,999,3.8,99,99
2017,1,2,22,50,70,6.7,6.7,99,99,99,999,9999,4.2,999,4,99,99
2017,1,2,23,0,70,7.2,7.2,99,99,99,999,9999,4.3,999,4.1,99,99
2017,1,2,23,10,80,5.7,5.7,99,99,99,999,9999,4.2,999,4,99,99
2017,1,2,23,20,60,4.1,4.1,99,99,99,999,9999,3.9,999,3.7,99,99
2017,1,2,23,30,50,3.6,3.6,99,99,99,999,9999,3.9,999,3.7,99,99
2017,1,2,23,40,60,4.1,4.1,99,99,99,999,9999,4.2,999,4.1,99,99
2017,1,2,23,50,80,5.1,5.7,99,99,99,999,9999,4.4,999,4.3,99,99
2017,1,3,0,0,70,5.1,5.1,99,99,99,999,9999,4.6,999,4.5,99,99
2017,1,3,0,10,60,5.1,5.1,99,99,99,999,9999,4.6,999,4.5,99,99
2017,1,3,0,20,70,5.7,5.7,99,99,99,999,9999,4.5,999,4.4,99,99
2017,1,3,0,30,60,6.2,6.2,99,99,99,999,9999,4.6,999,4.5,99,99
2017,1,3,0,40,70,7.2,7.2,99,99,99,999,9999,4.5,999,4.4,99,99
2017,1,3,0,50,80,7.7,7.7,99,99,99,999,9999,4.4,999,4.2,99,99
2017,1,3,1,0,80,7.2,7.7,99,99,99,999,9999,4.1,999,4,99,99
