IGRA,LAT,LON,Number,Name,Fir_date,Last_date,Other_Number
FMM00091413,9.4833,138.0667,15.0,YAP/CAROLINE IS. ,15,2019,43658
FMM00091434,1.083,154.767,3.0,KAPINGAMARANGI ATOL ,3,1979,487
FOM00006011,62.0231,-6.7647,54.0,TORSHAVN ,54,2019,48756
FPM00091902,-4.05,-154.9833,7.0,MALDEN ISLAND AF ,7,1962,274
FPM00091925,-9.8061,-139.0356,51.0,HIVA-OA ,51,2019,27516
FPM00091929,-16.45,-151.75,3.0,BORA-BORA ,3,1999,11160
FPM00091938,-17.5553,-149.6145,2.0,TAHITI-FAAA ,2,2019,39798
FPM00091941,-14.95,-147.659,7.0,RANGIROA ,7,1988,5720
FPM00091943,-14.4833,-145.0333,2.0,TAKAROA ATOLL ,2,2009,17249
FPM00091944,-18.067,-140.95,3.0,HAO ,3,1997,18186
FPM00091945,-19.9061,-144.9494,2.0,HEREHERETUE ,2,2010,7607
FPM00091946,-20.7667,-138.55,2.0,TUREIA ,2,1971,271
FPM00091948,-23.1303,-134.9653,91.0,MANGAREVA ,91,2019,25699
FPM00091952,-21.817,-138.8,3.0,MURUROA ,3,1997,6907
FPM00091954,-23.35,-149.4833,2.0,TUBUAI ISLAND ,2,2010,19527
FPM00091958,-27.6183,-144.3347,2.0,RAPA ,2,2019,27265
FRM00007005,50.133,1.833,77.0,ABBEVILLE ,77,1976,116
FRM00007070,49.3,4.033,91.0,REIMS ,91,1976,179
FRM00007110,48.4442,-4.4119,99.0,BREST-GUIPAVAS ,99,2019,61608
FRM00007130,48.067,-1.733,37.0,RENNES ,37,1996,1102
FRM00007145,48.7744,2.0097,167.0,TRAPPES ,167,2019,56645
FRM00007180,48.6833,6.2167,225.0,NANCY/ESSEY ,225,2010,32474
FRM00007190,48.55,7.6333,154.0,STRASBOURG ,154,1952,1364
FRM00007222,47.15,-1.6,27.0,NANTES ,27,1976,256
FRM00007255,47.067,2.367,161.0,BOURGES ,161,2001,3475
FRM00007265,47.8,3.55,212.0,AUXERRE ,212,1976,185
FRM00007280,47.267,5.083,222.0,DIJON ,222,1990,234
FRM00007354,46.85,1.7167,164.3,CHATEAUROUX ,164,1964,5082
FRM00007412,45.667,-0.317,30.0,COGNAC ,30,1994,356
FRM00007434,45.867,1.183,402.0,LIMOGES ,402,1976,190
FRM00007480,45.717,4.95,200.0,LYON-BRON ,200,1975,10582
FRM00007481,45.7264,5.0778,250.0,LYON-ST EXUPERY ,250,2011,35372
FRM00007510,44.8306,-0.6914,51.0,BORDEAUX MERIGNAC ,51,2019,60890
FRM00007577,44.583,4.733,74.0,MONTELIMAR ,74,1976,189
FRM00007602,43.467,-1.533,71.0,BIARRITZ ,71,1976,1055
FRM00007603,43.683,-1.067,33.0,DAX ,33,1977,328
FRM00007607,43.917,-0.5,60.0,MONT-DE-MARSAN ,60,1976,166
FRM00007627,43.0,1.1,412.0,SAINT GIRONS ,412,1976,158
FRM00007630,43.633,1.367,154.0,TOULOUSE BLAGNAC ,154,1984,1937
FRM00007645,43.8569,4.4064,60.0,NIMES-COURBESSAC ,60,2019,55626
FRM00007680,43.417,6.75,6.0,SAINT-RAPHAEL ,6,1982,230
FRM00007690,43.65,7.2,4.0,NICE ,4,1999,437
FRM00007761,41.9181,8.7928,6.0,AJACCIO ,6,2019,45968
FRXUAC03602,48.07,5.03,310.0,CHAUMONT ,310,1959,4616
FRXUAE05723,48.85,2.33,60.0,PARIS ,60,1920,270
FSM00061996,-37.7953,77.5692,27.0,MARTIN DE VIVIES ,27,2011,16637
FSM00061998,-49.3522,70.2433,29.0,PORT-AUX-FRANCAIS ,29,2018,15904
GBM00064500,0.45,9.4167,12.0,LIBREVILLE ,12,2019,12889
GBM00064501,-0.7,8.75,3.0,PORT-GENTIL ,3,2002,10586
GBM00064510,2.083,11.483,599.0,BITAM ,599,1986,483
GGM00037260,43.017,41.033,118.0,SUKHUMI (AGMS) ,118,1992,37578
