#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2018,1,7,3,0,210,3.3,99,99,99,99,999,9999,-12.6,999,999,99,99
2018,1,7,4,0,210,3.5,99,99,99,99,999,9999,-13.2,999,999,99,99
2018,1,7,5,0,196,3.9,99,99,99,99,999,9999,-12.9,999,999,99,99
2018,1,7,6,0,200,2.8,99,99,99,99,999,9999,-12.1,999,999,99,99
2018,1,7,7,0,202,4.6,99,99,99,99,999,9999,-11.2,999,999,99,99
2018,1,7,8,0,198,6,99,99,99,99,999,9999,-9.6,999,999,99,99
2018,1,7,9,0,210,5.5,99,99,99,99,999,9999,-8.6,999,999,99,99
2018,1,7,10,0,205,6.1,99,99,99,99,999,9999,-8.6,999,999,99,99
2018,1,7,11,0,193,6.8,99,99,99,99,999,9999,-8.7,999,999,99,99
2018,1,7,12,0,201,9.5,99,99,99,99,999,9999,-7.8,999,999,99,99
2018,1,7,13,0,205,5.3,99,99,99,99,999,9999,-6.8,999,999,99,99
2018,1,7,14,0,208,6.5,99,99,99,99,999,9999,-6,999,999,99,99
2018,1,7,15,0,227,5.7,99,99,99,99,999,9999,-5,999,999,99,99
2018,1,7,16,0,228,5.2,99,99,99,99,999,9999,-4.3,999,999,99,99
2018,1,7,17,0,230,6.9,99,99,99,99,999,9999,-3.7,999,999,99,99
2018,1,7,18,0,220,5.7,99,99,99,99,999,9999,-3,999,999,99,99
2018,1,7,20,0,233,5.2,99,99,99,99,999,9999,-1.9,999,999,99,99
2018,1,7,21,0,231,5.4,99,99,99,99,999,9999,-1.3,999,999,99,99
2018,1,7,22,0,221,3.9,99,99,99,99,999,9999,-0.6,999,999,99,99
2018,1,7,23,0,217,4.4,99,99,99,99,999,9999,0,999,999,99,99
2018,1,8,0,0,222,5.5,99,99,99,99,999,9999,0.8,999,999,99,99
2018,1,8,1,0,217,5.3,99,99,99,99,999,9999,1,999,999,99,99
2018,1,8,2,0,222,5,99,99,99,99,999,9999,0.9,999,999,99,99
2018,1,8,3,0,221,4.8,99,99,99,99,999,9999,0.8,999,999,99,99
2018,1,8,4,0,230,4.2,99,99,99,99,999,9999,0.4,999,999,99,99
2018,1,8,5,0,239,4.6,99,99,99,99,999,9999,0.8,999,999,99,99
2018,1,8,6,0,247,5.6,99,99,99,99,999,9999,1.1,999,999,99,99
2018,1,8,7,0,259,4.8,99,99,99,99,999,9999,1.5,999,999,99,99
2018,1,8,8,0,263,5.7,99,99,99,99,999,9999,1.6,999,999,99,99
2018,1,8,9,0,264,6.5,99,99,99,99,999,9999,1.5,999,999,99,99
2018,1,8,10,0,266,5.4,99,99,99,99,999,9999,1.5,999,999,99,99
2018,1,8,11,0,277,7,99,99,99,99,999,9999,1.5,999,999,99,99
2018,1,8,12,0,275,3.3,99,99,99,99,999,9999,1.4,999,999,99,99
2018,1,8,13,0,282,3.6,99,99,99,99,999,9999,1.6,999,999,99,99
2018,1,8,14,0,277,4.4,99,99,99,99,999,9999,1.7,999,999,99,99
2018,1,8,15,0,275,4.2,99,99,99,99,999,9999,1.6,999,999,99,99
2018,1,8,16,0,266,5.8,99,99,99,99,999,9999,2.2,999,999,99,99
2018,1,8,17,0,256,6.9,99,99,99,99,999,9999,2.7,999,999,99,99
2018,1,8,18,0,266,6.8,99,99,99,99,999,9999,3.1,999,999,99,99
2018,1,8,19,0,269,5.8,99,99,99,99,999,9999,3.1,999,999,99,99
2018,1,8,20,0,256,6.2,99,99,99,99,999,9999,2.8,999,999,99,99
2018,1,8,21,0,261,5.6,99,99,99,99,999,9999,2.6,999,999,99,99
2018,1,8,22,0,251,4.5,99,99,99,99,999,9999,1.9,999,999,99,99
2018,1,8,23,0,263,4.4,99,99,99,99,999,9999,1.5,999,999,99,99
2018,1,9,0,0,256,4.2,99,99,99,99,999,9999,1.1,999,999,99,99
2018,1,9,1,0,266,4.4,99,99,99,99,999,9999,0.8,999,999,99,99
2018,1,9,2,0,262,3.3,99,99,99,99,999,9999,0.8,999,999,99,99
2018,1,9,3,0,270,3.8,99,99,99,99,999,9999,0.6,999,999,99,99
2018,1,9,4,0,269,4.1,99,99,99,99,999,9999,0.3,999,999,99,99
2018,1,9,5,0,261,4,99,99,99,99,999,9999,0.2,999,999,99,99
2018,1,9,6,0,264,5.4,99,99,99,99,999,9999,-0.1,999,999,99,99
2018,1,9,7,0,263,2.4,99,99,99,99,999,9999,-0.4,999,999,99,99
2018,1,9,8,0,241,1.4,99,99,99,99,999,9999,-1,999,999,99,99
2018,1,9,9,0,247,2.9,99,99,99,99,999,9999,-1,999,999,99,99
2018,1,9,10,0,235,1.6,99,99,99,99,999,9999,-1.3,999,999,99,99
2018,1,9,11,0,247,3.4,99,99,99,99,999,9999,-1.4,999,999,99,99
2018,1,9,12,0,253,3.1,99,99,99,99,999,9999,-1.7,999,999,99,99
2018,1,9,13,0,250,2.6,99,99,99,99,999,9999,-2,999,999,99,99
2018,1,9,14,0,224,2.8,99,99,99,99,999,9999,-2,999,999,99,99
2018,1,9,15,0,205,2.7,99,99,99,99,999,9999,-1.5,999,999,99,99
2018,1,9,16,0,202,2.2,99,99,99,99,999,9999,-0.8,999,999,99,99
2018,1,9,17,0,197,1.7,99,99,99,99,999,9999,-0.3,999,999,99,99
2018,1,9,18,0,194,2.4,99,99,99,99,999,9999,0.3,999,999,99,99
2018,1,9,19,0,160,2.5,99,99,99,99,999,9999,0.8,999,999,99,99
2018,1,9,20,0,158,2,99,99,99,99,999,9999,1,999,999,99,99
2018,1,9,21,0,205,2.2,99,99,99,99,999,9999,1,999,999,99,99
2018,1,9,22,0,138,1.9,99,99,99,99,999,9999,0.4,999,999,99,99
2018,1,9,23,0,182,2.3,99,99,99,99,999,9999,0,999,999,99,99
2018,1,10,0,0,147,2.5,99,99,99,99,999,9999,0,999,999,99,99
2018,1,10,1,0,194,5.1,99,99,99,99,999,9999,0,999,999,99,99
2018,1,10,2,0,184,2.8,99,99,99,99,999,9999,-0.1,999,999,99,99
2018,1,10,3,0,166,3.6,99,99,99,99,999,9999,-0.2,999,999,99,99
2018,1,10,4,0,183,3.2,99,99,99,99,999,9999,0.3,999,999,99,99
2018,1,10,5,0,191,3.1,99,99,99,99,999,9999,0.4,999,999,99,99
2018,1,10,6,0,177,3.2,99,99,99,99,999,9999,1.1,999,999,99,99
2018,1,10,7,0,161,4.4,99,99,99,99,999,9999,1.3,999,999,99,99
2018,1,10,8,0,168,3.8,99,99,99,99,999,9999,1.9,999,999,99,99
2018,1,10,9,0,184,4.7,99,99,99,99,999,9999,2.4,999,999,99,99
2018,1,10,10,0,192,4,99,99,99,99,999,9999,2.7,999,999,99,99
2018,1,10,11,0,196,3.1,99,99,99,99,999,9999,3.2,999,999,99,99
2018,1,10,12,0,199,4.6,99,99,99,99,999,9999,3.9,999,999,99,99
2018,1,10,13,0,200,4.6,99,99,99,99,999,9999,4.2,999,999,99,99
2018,1,10,14,0,208,3.7,99,99,99,99,999,9999,4.9,999,999,99,99
2018,1,10,15,0,205,4.4,99,99,99,99,999,9999,5.5,999,999,99,99
2018,1,10,16,0,208,6,99,99,99,99,999,9999,6.4,999,999,99,99
2018,1,10,17,0,219,7.5,99,99,99,99,999,9999,7.5,999,999,99,99
2018,1,10,18,0,223,8.4,99,99,99,99,999,9999,8.2,999,999,99,99
2018,1,10,19,0,217,5.7,99,99,99,99,999,9999,8.1,999,999,99,99
