DATE,lake_temp
2017-11-20,8.06
2017-11-21,7.94
2017-11-22,7.79
2017-11-23,7.69
2017-11-24,7.67
2017-11-25,7.63
2017-11-26,7.55
2017-11-27,7.5
2017-11-28,7.48
2017-11-29,7.43
2017-11-30,7.31
2017-12-01,7.26
2017-12-02,7.18
2017-12-03,7.13
2017-12-04,7.1
2017-12-05,7.04
2017-12-06,6.97
2017-12-07,6.89
2017-12-08,6.79
2017-12-09,6.7
2017-12-10,6.47
2017-12-11,6.2
2017-12-12,6.05
2017-12-13,5.51
2017-12-14,5.28
2017-12-15,5.19
2017-12-16,5.11
2017-12-17,5.1
2017-12-18,5.16
2017-12-19,5.17
2017-12-20,5.12
2017-12-21,5.05
2017-12-22,5.01
2017-12-23,4.95
2017-12-24,4.78
2017-12-25,4.65
2017-12-26,4.5
2017-12-27,4.23
2017-12-28,3.93
2017-12-29,3.62
2017-12-30,3.25
2017-12-31,3.14
2018-01-01,3.11
2018-01-02,2.98
2018-01-03,2.9
2018-01-04,2.87
2018-01-05,2.65
2018-01-06,2.56
2018-01-07,2.67
2018-01-08,2.66
2018-01-09,2.72
2018-01-10,2.66
2018-01-11,2.7
2018-01-12,2.65
2018-01-13,2.47
2018-01-14,2.34
2018-01-15,2.39
2018-01-16,2.33
2018-01-17,2.33
2018-01-18,2.45
2018-01-19,2.39
2018-01-20,2.43
2018-01-21,2.45
2018-01-22,2.44
2018-01-23,2.4
2018-01-24,2.37
2018-01-25,2.36
2018-01-26,2.45
2018-01-27,2.42
2018-01-28,2.38
2018-01-29,2.34
2018-01-30,2.28
2018-01-31,2.24
2018-02-01,2.2
2018-02-02,2.08
2018-02-03,2.03
2018-02-04,1.86
2018-02-05,1.66
2018-02-06,1.58
2018-02-07,1.42
2018-02-08,1.35
2018-02-09,1.26
2018-02-10,1.25
2018-02-11,1.11
2018-02-12,1.35
2018-02-13,1.41
2018-02-14,1.58
2018-02-15,1.56
2018-02-16,1.57
2018-02-17,1.61
2018-02-18,1.65
2018-02-19,1.61
2018-02-20,1.73
2018-02-21,1.76
2018-02-22,1.63
2018-02-23,1.63
2018-02-24,1.77
2018-02-25,1.79
2018-02-26,1.86
2018-02-27,1.9
2018-02-28,1.95
2018-03-01,1.92
2018-03-02,1.89
2018-03-03,1.86
2018-03-04,1.83
2018-03-05,1.79
2018-03-06,1.8
2018-03-07,1.8
2018-03-08,1.74
2018-03-09,1.7
2018-03-10,1.74
2018-03-11,1.74
2018-03-12,1.76
2018-03-13,1.77
2018-03-14,1.86
2018-03-15,1.95
2018-03-16,1.97
2018-03-17,2.08
2018-03-18,2.14
2018-03-19,2.07
2018-03-20,2.02
2018-03-21,1.99
2018-03-22,2.06
2018-03-23,2.11
2018-03-24,2.1
2018-03-25,2.02
2018-03-26,2.04
2018-03-27,2.11
2018-03-28,2.12
2018-03-29,2.1
2018-03-30,2.04
2018-03-31,2.09
2018-04-01,2.09
2018-04-02,2.09
2018-04-03,2.11
2018-04-04,2.09
2018-04-05,2.11
2018-04-06,2.16
2018-04-07,2.2
2018-04-08,2.16
2018-04-09,2.14
2018-04-10,2.17
2018-04-11,2.34
2018-04-12,2.55
2018-04-13,2.52
2018-04-14,2.47
2018-04-15,2.43
2018-04-16,2.45
2018-04-17,2.44
2018-04-18,2.45
2018-04-19,2.51
2018-04-20,2.54
2018-04-21,2.58
2018-04-22,2.66
2018-04-23,2.79
2018-04-24,2.93
2018-04-25,2.99
2018-04-26,3.04
2018-04-27,3.2
2018-04-28,3.35
2018-04-29,3.47
2018-04-30,3.66
2018-05-01,3.92
2018-05-02,4.04
2018-05-03,4.11
2018-05-04,4.29
2018-05-05,4.49
2018-05-06,4.58
