STATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094846,6/13/01,0,0,0,91,68
USW00094846,6/14/01,0.31,0,0,91,68
USW00094846,6/15/01,0.04,0,0,77,63
USW00094846,6/16/01,0,0,0,86,55
USW00094846,6/17/01,0.05,0,0,87,54
USW00094846,6/18/01,0.4,0,0,91,64
USW00094846,6/19/01,0.02,0,0,84,65
USW00094846,6/20/01,0,0,0,76,63
USW00094846,6/21/01,0.17,0,0,69,55
USW00094846,6/22/01,0.02,0,0,69,51
USW00094846,6/23/01,0,0,0,73,50
USW00094846,6/24/01,0,0,0,81,50
USW00094846,6/25/01,0,0,0,85,58
USW00094846,6/26/01,0,0,0,86,61
USW00094846,6/27/01,0,0,0,87,63
USW00094846,6/28/01,0,0,0,86,63
USW00094846,6/29/01,0,0,0,87,66
USW00094846,6/30/01,0,0,0,88,68
USW00094846,7/1/01,0,0,0,78,50
USW00094846,7/2/01,0,0,0,75,49
USW00094846,7/3/01,0.07,0,0,79,64
USW00094846,7/4/01,0,0,0,88,68
USW00094846,7/5/01,0,0,0,73,54
USW00094846,7/6/01,0,0,0,81,50
USW00094846,7/7/01,0.17,0,0,86,62
USW00094846,7/8/01,0,0,0,89,68
USW00094846,7/9/01,0,0,0,91,66
USW00094846,7/10/01,0,0,0,93,68
USW00094846,7/11/01,0,0,0,78,60
USW00094846,7/12/01,0,0,0,80,58
USW00094846,7/13/01,0,0,0,79,57
USW00094846,7/14/01,0,0,0,87,61
USW00094846,7/15/01,0,0,0,88,59
USW00094846,7/16/01,0,0,0,86,63
USW00094846,7/17/01,0.45,0,0,86,71
USW00094846,7/18/01,0.04,0,0,85,70
USW00094846,7/19/01,0,0,0,88,66
USW00094846,7/20/01,0,0,0,93,70
USW00094846,7/21/01,0,0,0,93,73
USW00094846,7/22/01,1.3,0,0,95,68
USW00094846,7/23/01,0.09,0,0,92,73
USW00094846,7/24/01,0.02,0,0,90,68
USW00094846,7/25/01,0.82,0,0,75,67
USW00094846,7/26/01,0,0,0,78,68
USW00094846,7/27/01,0,0,0,78,64
USW00094846,7/28/01,0,0,0,78,65
USW00094846,7/29/01,0,0,0,90,65
USW00094846,7/30/01,0,0,0,90,70
USW00094846,7/31/01,0,0,0,94,71
USW00094846,8/1/01,0,0,0,92,76
USW00094846,8/2/01,1.21,0,0,84,73
USW00094846,8/3/01,0,0,0,84,66
USW00094846,8/4/01,0,0,0,87,64
USW00094846,8/5/01,0,0,0,89,63
USW00094846,8/6/01,0,0,0,92,70
USW00094846,8/7/01,1.09,0,0,95,75
USW00094846,8/8/01,0,0,0,93,76
USW00094846,8/9/01,0.47,0,0,95,72
USW00094846,8/10/01,0,0,0,77,62
USW00094846,8/11/01,0,0,0,77,60
USW00094846,8/12/01,0,0,0,84,60
USW00094846,8/13/01,0.07,0,0,75,59
USW00094846,8/14/01,0,0,0,75,57
USW00094846,8/15/01,0.04,0,0,77,57
USW00094846,8/16/01,0.38,0,0,70,65
USW00094846,8/17/01,0,0,0,78,61
USW00094846,8/18/01,0.26,0,0,70,61
USW00094846,8/19/01,0.34,0,0,73,62
USW00094846,8/20/01,0,0,0,79,58
USW00094846,8/21/01,0.09,0,0,81,63
USW00094846,8/22/01,1.32,0,0,86,68
USW00094846,8/23/01,0.16,0,0,74,69
USW00094846,8/24/01,0.43,0,0,80,67
USW00094846,8/25/01,1.63,0,0,79,69
USW00094846,8/26/01,0,0,0,84,66
USW00094846,8/27/01,0.45,0,0,84,64
USW00094846,8/28/01,0,0,0,78,58
USW00094846,8/29/01,0,0,0,82,56
USW00094846,8/30/01,4.31,0,0,85,68
