"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","WDF2","WDF5","WDMV","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-11-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","41.5833","-87.8434","217.0","2007-12-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
