#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2015,1,14,17,0,216,7.2,-9.1
2015,1,14,18,0,250,9.3,-8.3
2015,1,14,19,0,221,8.8,-6.7
2015,1,14,20,0,209,7.4,-6.4
2015,1,14,21,0,207,9.2,-5.9
2015,1,14,22,0,208,6.9,-6.7
2015,1,14,23,0,199,7.3,-7.0
2015,1,15,0,0,210,13.3,-8.0
2015,1,15,1,0,204,11.6,-8.5
2015,1,15,2,0,228,8.3,-8.4
2015,1,15,3,0,216,12.3,-8.1
2015,1,15,4,0,226,13.8,-8.0
2015,1,15,5,0,240,7.7,-7.7
2015,1,15,6,0,223,4.9,-7.6
2015,1,15,7,0,255,3.3,-7.5
2015,1,15,8,0,235,4.4,-7.2
2015,1,15,9,0,258,2.7,-6.9
2015,1,15,10,0,217,5.5,-7.2
2015,1,15,11,0,211,6.7,-7.0
2015,1,15,12,0,213,9.0,-6.4
2015,1,15,13,0,227,7.2,-6.1
2015,1,15,14,0,232,5.3,-5.4
2015,1,15,15,0,246,11.8,-4.3
2015,1,15,16,0,247,8.0,-2.4
2015,1,15,17,0,225,11.0,-0.2
2015,1,15,18,0,230,10.2,1.0
2015,1,15,19,0,228,16.8,1.9
2015,1,15,20,0,228,7.2,2.1
2015,1,15,21,0,246,6.2,1.4
2015,1,15,22,0,249,9.1,0.7
2015,1,15,23,0,221,12.9,0.0
2015,1,16,0,0,237,6.3,0.0
2015,1,16,1,0,262,3.8,0.0
2015,1,16,2,0,267,7.5,-0.3
2015,1,16,3,0,280,5.4,-0.8
2015,1,16,4,0,248,3.8,-1.2
2015,1,16,5,0,256,5.0,-1.5
2015,1,16,6,0,272,5.7,-1.6
2015,1,16,7,0,219,4.8,-1.9
2015,1,16,8,0,273,3.6,-2.2
2015,1,16,9,0,232,5.2,-2.2
2015,1,16,10,0,248,3.3,-2.3
2015,1,16,11,0,279,5.1,-1.9
2015,1,16,12,0,275,5.0,-1.5
2015,1,16,13,0,279,3.5,-1.0
2015,1,16,15,0,358,3.1,-0.1
2015,1,16,18,0,65,7.5,-0.3
2015,1,16,19,0,84,4.6,-0.2
2015,1,16,20,0,99,7.4,-0.3
2015,1,16,21,0,104,8.1,-0.5
2015,1,16,22,0,102,10.3,-0.5
2015,1,16,23,0,98,8.0,-0.3
2015,1,17,0,0,118,11.7,-0.3
2015,1,17,1,0,140,9.8,-0.3
2015,1,17,2,0,142,15.5,-0.5
2015,1,17,3,0,148,10.8,-0.7
2015,1,17,4,0,140,12.4,-0.7
2015,1,17,5,0,151,11.8,-1.0
2015,1,17,6,0,163,11.5,-0.8
2015,1,17,7,0,162,6.0,1.2
2015,1,17,8,0,200,12.3,1.2
2015,1,17,9,0,194,12.7,2.2
2015,1,17,10,0,205,16.5,2.4
2015,1,17,11,0,224,13.1,2.8
2015,1,17,12,0,198,14.7,3.5
2015,1,17,13,0,201,12.9,3.3
2015,1,17,14,0,209,11.6,3.9
2015,1,17,15,0,217,13.0,4.9
2015,1,17,16,0,196,16.4,5.5
2015,1,17,17,0,214,14.3,6.4
2015,1,17,18,0,216,7.8,7.0
2015,1,17,19,0,212,13.0,6.7
2015,1,17,20,0,235,14.0,6.8
2015,1,17,21,0,197,10.4,6.1
2015,1,17,22,0,236,9.5,5.8
2015,1,17,23,0,220,10.6,5.6
2015,1,18,0,0,224,8.2,4.9
2015,1,18,1,0,248,4.1,4.5
2015,1,18,2,0,264,5.2,4.4
2015,1,18,3,0,250,6.3,4.4
2015,1,18,4,0,263,6.2,4.3
2015,1,18,5,0,223,7.8,4.1
2015,1,18,6,0,267,8.2,3.4
2015,1,18,7,0,273,11.6,3.4
2015,1,18,8,0,258,9.1,3.1
2015,1,18,9,0,244,7.8,2.7
2015,1,18,10,0,276,15.2,2.4
2015,1,18,11,0,250,10.3,2.3
2015,1,18,12,0,284,4.5,2.4
2015,1,18,13,0,277,7.8,2.3
2015,1,18,14,0,274,8.4,1.8
2015,1,18,15,0,264,10.8,2.5
2015,1,18,16,0,277,9.4,3.1
2015,1,18,17,0,267,4.9,3.9
2015,1,18,18,0,304,12.2,4.4
2015,1,18,19,0,312,10.5,4.9
2015,1,18,20,0,280,8.4,4.9
2015,1,18,21,0,272,5.8,4.7
2015,1,18,22,0,235,5.9,4.0
2015,1,18,23,0,260,4.9,3.3
2015,1,19,0,0,281,4.2,3.0
2015,1,19,1,0,243,3.7,2.6
2015,1,19,2,0,255,2.5,2.3
2015,1,19,3,0,235,2.8,2.2
2015,1,19,4,0,218,3.4,1.9
2015,1,19,5,0,240,4.6,1.4
2015,1,19,6,0,262,8.7,0.7
2015,1,19,7,0,274,7.6,0.7
2015,1,19,8,0,274,5.7,0.0
2015,1,19,9,0,316,4.5,0.0
2015,1,19,10,0,269,5.7,-0.2
2015,1,19,11,0,277,2.9,-0.6
2015,1,19,12,0,306,5.1,-0.9
2015,1,19,13,0,3,4.2,0.0
2015,1,19,15,0,351,3.6,1.5
2015,1,19,16,0,13,3.1,1.6
2015,1,19,17,0,351,2.9,1.6
2015,1,19,18,0,28,3.2,1.1
2015,1,19,19,0,27,2.4,1.0
2015,1,19,20,0,9,4.9,0.8
2015,1,19,21,0,29,3.4,0.7
2015,1,19,22,0,78,4.1,1.0
2015,1,19,23,0,110,4.8,1.0
2015,1,20,0,0,113,3.1,0.9
2015,1,20,1,0,195,1.5,0.9
2015,1,20,2,0,172,4.0,1.0
2015,1,20,3,0,177,3.2,0.7
2015,1,20,4,0,150,4.8,0.5
2015,1,20,5,0,135,6.8,0.3
2015,1,20,6,0,140,6.8,0.4
2015,1,20,7,0,144,4.9,0.5
2015,1,20,8,0,121,3.7,0.6
2015,1,20,9,0,134,3.7,0.6
2015,1,20,10,0,173,2.6,0.6
2015,1,20,11,0,150,3.4,0.6
2015,1,20,12,0,177,2.0,1.4
2015,1,20,13,0,142,5.1,1.7
2015,1,20,14,0,315,1.6,2.5
2015,1,20,15,0,352,3.9,2.3
2015,1,20,16,0,352,5.0,1.4
2015,1,20,17,0,341,7.1,1.3
2015,1,20,18,0,59,5.6,1.4
2015,1,20,19,0,351,4.4,1.1
2015,1,20,20,0,330,8.2,1.1
2015,1,20,21,0,21,9.8,0.8
2015,1,20,23,0,23,8.8,0.7
2015,1,21,0,0,11,14.2,0.6
2015,1,21,1,0,357,9.0,0.3
2015,1,21,2,0,349,10.7,0.0
2015,1,21,3,0,2,11.1,0.0
2015,1,21,4,0,6,10.6,-0.1
2015,1,21,5,0,4,8.5,0.0
2015,1,21,6,0,349,10.1,-0.1
2015,1,21,7,0,0,10.4,-0.2
2015,1,21,8,0,347,7.0,-0.1
2015,1,21,9,0,348,4.8,0.0
2015,1,21,10,0,352,6.8,0.0
